molecule,logp,dataset_type
C=CC(O)CCCCCC,3.09,validation
C=CC(O)CCl,0.89,test
C=CC(O)CO,-0.43,test
C=CC(O)COCC(O)C=C,0.07,train
C=CC(OC(=O)NC1CCCCC1)(c1ccccc1)c1ccccc1,6.38,train
C=CC(OC)OC,0.58,train
C=CC(OCC)OCC,1.56,train
C=CC(OP(=O)(OC)OC)C(=O)OCc1ccc([N+](=O)[O-])cc1,1.24,train
C=CC(OP(=O)(OCC)OCC)C(=O)N(C)C,-0.16,validation
C=CC(c1ccc(O)cc1)C(C=C)c1ccc(O)cc1,5.32,train
C=CC1(C(C)CCC)C(=O)NC(=O)NC1=O,1.87,validation
C=CC1(C)C=C2CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,6.45,train
C=CC1(C)C=C2CCC3C(C)(CO)CCCC3(C)C2CC1,6.85,validation
C=CC1(C)CC(OC(=O)CO)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,2.93,test
C=CC1(C)CC(OC(=O)CSCCN(CC)CC)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,4.75,train
C=CC1(C)CCC(C(=C)C)CC1C(=C)C,7.04,validation
C=CC1(C)CCC(O)O1,0.62,test
C=CC1(C)CCC2C(=CCC3C(C)(C(=O)O)CCCC23C)C1,6.45,test
C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,3.1,train
C=CC1(Cl)CC=C(Cl)CC1,4.44,train
C=CC1(Cl)CCC1(Cl)C=C,4.17,train
C=CC1(O)CCCCC1,2.45,test
C=CC1(OC(N)=O)CCCCC1,2.57,test
C=CC12CCN(CC1)C(C(O)c1ccnc3ccc(OC)cc13)C2,2.08,train
C=CC12CN(C)C3C4COC(CC41)C1(C(=O)Nc4ccccc41)C32,1.36,test
C=CC12COC(=O)C(=C)C1C1OC(=O)C(=C)C1C(O)C2,0.31,train
C=CC12COC(=O)C(=C)C1C1OC(=O)C(=C)C1C(OC(=O)C(=C)C)C2,1.56,validation
C=CC1=C(C)C(=Cc2[nH]c(Cc3[nH]c(C=C4NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O,5.04,validation
C=CC1=CCCCC1,3.86,train
C=CC1C2=CCOC(=O)C2=COC1OC1OC(CO)C(O)C(O)C1O,-2.64,train
C=CC1CC2C=CC1C2,3.62,train
C=CC1CC=CCC1,3.93,train
C=CC1CCC(C=C)OC1,2.97,train
C=CC1CCC(Cl)C(Cl)C1,4.31,train
C=CC1CCC(O)C(O)C1,0.63,train
C=CC1CCC1C=C,3.74,train
C=CC1CCC2OC2C1,2.08,validation
C=CC1CCCCC1,3.95,test
C=CC1CN2C(OC)CC1CC2C(O)c1ccnc2ccccc12,2.92,test
C=CC1CN2CCC1CC2C(=O)c1ccnc2ccc(OC)cc12,4.24,test
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(O)cc12,2.73,train
C=CC1CN2CCC1CC2C(O)c1cnc2ccc(OC)cc2c1,-1.99,train
C=CC1CN2CCC1CC2C(OC(C)CCl)c1ccnc2ccc(OC)cc12,5.16,train
C=CC1CN2CCC1CC2C(OC=O)c1ccnc2ccc(OC)cc12,3.75,validation
C=CC1CN2CCC1CC2C(OCCC(C)CBr)c1ccnc2ccc(OC)cc12,6.23,test
C=CC1CN2CCC1CC2C(OCCCBr)c1ccnc2ccc(OC)cc12,5.32,train
C=CC1CN2CCC1CC2C(OCCCCCCBr)c1ccnc2ccc(OC)cc12,6.79,train
C=CC1CN2CCC1CC2C(OCCCCCCl)c1ccnc2ccc(OC)cc12,6.21,validation
C=CC1CN2CCC1CC2C(OCCCCCl)c1ccnc2ccc(OC)cc12,5.72,train
C=CC1CN2CCC1CC2C(OCCCCl)c1ccnc2ccc(OC)cc12,5.23,train
C=CC1CN2CCC1CC2C(OCCOCl)c1ccnc2ccc(OC)cc12,3.48,validation
C=CC1CN2CCC1CC2C(OCOCl)c1ccnc2ccc(OC)cc12,2.99,train
C=CC1CN2CCC1CC2C12Nc3ccccc3C1(O)CCO2,3.83,validation
C=CC1CN2CCC1CC2c1[nH]c2ccccc2c1CCO,3.39,train
C=CC1CNC(=S)O1,1.19,train
C=CC1CNCCC1CCC(=O)c1ccnc2ccc(OC)cc12,3.94,train
C=CC1CNCCC1CCC(=O)c1ccnc2ccccc12,3.86,train
C=CC1C[N+]2([O-])CCC1CC2C(O)c1ccnc2ccc(OC)cc12,2.53,test
C=CC1OCC(C)O1,0.88,train
C=CC1OCC2(CO1)COC(C=C)OC2,0.97,validation
C=CC1OCCO1,0.47,train
C=CC=C(C)C,2.99,validation
C=CC=C(Cl)Cl,2.88,train
C=CC=C(O)C(C)=O,1.21,validation
C=CC=CC(=O)O,1.21,train
C=CC=CC=C,2.8,train
C=CC=CC=CCCCCC,5.18,train
C=CC=CCC1=C(C)C(OC(=O)C2C(C=C(C)C(=O)OC)C2(C)C)CC1=O,4.3,train
C=CC=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,5.9,train
C=CC=CCC1=CC(OC(=O)C2C(C=C(C)C)C2(C)C)C(C)C1=O,6.15,test
C=CC=CCl,2.39,test
C=CC=COC,1.19,validation
C=CC=NNc1ccccc1,2.34,test
C=CC=[SH](O)(O)CCC,0.39,train
C=CCBr,1.79,train
C=CCC(=C)C,3.07,train
C=CCC(=O)CCC(C#N)(C#N)CCC(=O)CC=C,2.64,validation
C=CCC(=O)CCC(C)(CCC(=O)CC=C)C(C)=O,1.67,train
C=CCC(=O)Nc1ccc(Cl)c(Cl)c1,3.63,test
C=CCC(=O)O,0.93,train
C=CCC(=O)OCC,1.71,train
C=CCC(C#N)OCCOCC,0.57,test
C=CCC(C(=O)NC(N)=O)C(C)C,1.66,train
C=CCC(C(=O)NNC(C)C)c1cccc2ccccc12,4.0,train
C=CCC(C(=O)O)C(=O)O,0.02,train
C=CCC(C(=O)O)C(C)C(=O)O,0.93,train
C=CCC(C(=O)OCC)C(=O)OCC,2.16,train
C=CCC(C(=O)OCCN(CC)CC)c1cccc2ccccc12,5.2,train
C=CCC(C(C)=O)C(=O)OCC,1.06,validation
C=CCC(C(C)=O)C(C)=O,1.32,train
C=CCC(C(N)=S)c1ccccn1,0.95,train
C=CCC(C)(C(=O)OCC)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,2.3,train
C=CCC(C)(C)C,3.53,train
C=CCC(C)(O)CC=C,2.42,train
C=CCC(C)C,3.08,train
C=CCC(C)C(C)C,3.99,train
C=CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1.87,train
C=CCC(C)CC,3.57,train
C=CCC(C)CCC,4.06,test
C=CCC(C)O,1.12,train
C=CCC(C)OC(=O)Nc1ccc(OCC)c(OCC)c1,3.37,train
C=CCC(C)OC(O)=Nc1ccc(OCC)c(OCC)c1,3.37,test
C=CCC(CC)(COC(N)=O)COC(N)=O,1.34,train
C=CCC(CC=C)(C(=O)N=C(N)O)C(=O)OC,1.37,validation
C=CCC(CC=C)(C(=O)NC(=N)O)C(=O)OC,1.37,train
C=CCC(CC=C)(C(=O)NC(N)=O)C(=O)OC,1.37,train
C=CCC(CC=C)(C(=O)OC)C(O)=NC(=N)O,1.37,train
C=CCC(CC=C)(C(=O)OC)C(O)=NC(N)=O,1.37,train
C=CCC(CC=C)(C(=O)OCC)C(=O)OCC,3.46,train
C=CCC(CC=C)(NC(C)=O)C(N)=O,0.05,train
C=CCC(CCN(CC)CC)(C(=O)OCC)c1ccccc1,4.97,train
C=CCC(CNC)(C(=O)O)C(=O)O,-3.73,test
C=CCC(Cl)(Cl)Cl,3.53,train
C=CCC(N)Cc1ccccc1,2.6,train
C=CCC(NC(=O)C(Cc1ccc(OC)cc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCN1CCOCC1,2.73,train
C=CCC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCN(C)CC1)C(=O)NC(CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCN1CCOCC1,2.73,train
C=CCC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCN1CCOCC1,3.39,train
C=CCC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(COC(F)(F)C(=O)NCCN1CCOCC1)CC1CCCCC1,3.17,train
C=CCC(NC(C)=O)C(N)=O,-0.86,train
C=CCC(O)C=C,1.48,train
C=CCC(O)CC=C,1.97,train
C=CCC(O)CCC,2.1,train
C=CCC1(C(=O)NC(N)=O)CC(C)OC1=O,0.22,train
C=CCC1(C(C)(C)C)C(=O)NC(=O)NC1=O,1.64,train
C=CCC1(C(C)(C)CC)C(=O)NC(=O)NC1=O,2.06,test
C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,1.01,train
C=CCC1(C(C)C)C(=O)NC(=O)N(C)C1=O,1.59,validation
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,1.15,train
C=CCC1(C(C)C)C(=O)NC(=S)NC1=O,2.25,test
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,1.47,train
C=CCC1(C(C)CC)C(=O)NC(=S)NC1=O,2.74,train
C=CCC1(C(C)CCC)C(=C)NC(=S)NC1=O,3.23,validation
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,3.23,train
C=CCC1(C)C(=O)NC(=O)NC1=O,0.36,test
C=CCC1(C2=CCCC2)C(=O)NC(=O)N(C)C1=O,1.89,test
C=CCC1(C2C=CCCC2)C(=O)NC(=S)NC1=O,3.39,train
C=CCC1(C=CCCC)C(=O)NC(=O)NC1=O,2.22,test
C=CCC1(CC(=C)Br)C(=O)NC(=O)N(C)C1=O,1.78,train
C=CCC1(CC(=C)Br)C(=O)NC(=O)NC1=O,1.37,train
C=CCC1(CC(C)(C)C)C(=O)NC(=O)NC1=O,2.06,train
C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O,-0.05,validation
C=CCC1(CC)C(=O)NC(=O)NC1=O,0.95,test
C=CCC1(CC=C)C(=O)N(C)C(=O)N(C)C1=O,1.74,train
C=CCC1(CC=C)C(=O)NC(=O)N(C)C1=O,1.55,train
C=CCC1(CC=C)C(=O)NC(=S)NC1=O,2.18,train
C=CCC1(CCCC)C(=O)NC(=O)NC1=O,2.31,test
C=CCC1(Cc2ccccc2)C(=O)NC(=S)NC1=O,3.05,train
C=CCC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C=CC21C,3.71,validation
C=CCC1(O)CCC2C3CCC4=CCCCC4C3CCC21C,5.88,validation
C=CCC1(c2cccc(O)c2)CCN(C)C1,3.14,train
C=CCC1(c2cccc(OC)c2)CCN(C)C1,3.7,train
C=CCC1(c2ccccc2)C(=O)N=C(O)N=C1O,1.69,train
C=CCC1(c2ccccc2)C(=O)N=C(O)NC1=O,1.69,test
C=CCC1(c2ccccc2)C(=O)NC(=O)N=C1O,1.69,train
C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,1.69,train
C=CCC1(c2ccccc2)C(O)=NC(=O)N=C1O,1.69,test
C=CCC1=C(C)C(OC(=O)C2C(C)(C)C2(C)C)CC1=O,4.65,train
C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,4.78,train
C=CCC1=C(O)N(CCN(C)C)c2ccccc2CC1c1ccc(OC)cc1,5.3,train
C=CCC1=Nc2cc(Cl)ccc2S(=O)(=O)N1,1.96,validation
C=CCC1C(=O)N(CCN(C)C)c2cccc(C(F)(F)F)c2CC1c1ccc(OC)cc1,6.6,train
C=CCC1C(=O)N(CCN(C)C)c2ccccc2CC1c1ccc(OC)cc1,5.3,train
C=CCC1C(=O)NC(=O)NC1=O,0.01,test
C=CCC1CC(=O)OC1=O,2.07,train
C=CCC1CCCC1,3.95,train
C=CCC1CCCCC1,4.44,train
C=CCC=CC,2.94,test
C=CCCBr,2.53,train
C=CCCC#N,1.19,train
C=CCCC(=C)C,3.56,validation
C=CCCC(=O)C=CC1C(C)=CCCC1(C)C,5.63,test
C=CCCC(=O)O,1.42,train
C=CCCC(=O)OCC=C,2.56,train
C=CCCC(C)(C)C,4.02,train
C=CCCC(C)=O,1.02,train
C=CCCC(C)C,3.57,train
C=CCCC(C)CC,4.06,train
C=CCCC(C)O,1.61,test
C=CCCC=C,2.87,validation
C=CCCC=O,1.17,train
C=CCCCBr,3.0,train
C=CCCCC,3.39,train
C=CCCCC(=O)O,1.91,train
C=CCCCC(C)C,4.06,train
C=CCCCC=C,3.51,train
C=CCCCC=CCO,2.45,train
C=CCCCC=CCOC(C)=O,3.46,test
C=CCCCCC(=O)O,2.41,train
C=CCCCCC=C,4.0,train
C=CCCCCCC,4.57,train
C=CCCCCCC=C,4.49,test
C=CCCCCCCC,5.15,test
C=CCCCCCCC(=O)O,3.39,train
C=CCCCCCCC=C,4.98,train
C=CCCCCCCCC,5.7,train
C=CCCCCCCCCC,5.53,train
C=CCCCCCCCCC(=O)Cl,3.81,test
C=CCCCCCCCCC(=O)NC1CCC(=O)NC1=O,2.64,train
C=CCCCCCCCCC(=O)O,3.86,train
C=CCCCCCCCCC(=O)OC,4.66,validation
C=CCCCCCCCCC(=O)OCC,5.15,train
C=CCCCCCCCCC(=O)OCCCC,6.13,train
C=CCCCCCCCCC1CO1,4.7,train
C=CCCCCCCCCC=C,5.96,test
C=CCCCCCCCCC=O,4.12,validation
C=CCCCCCCCCCC,6.1,train
C=CCCCCCCCCCCC,6.59,validation
C=CCCCCCCCCCCCC,7.08,train
C=CCCCCCCCCCCCCC,7.57,train
C=CCCCCCCCCCCCCCC,8.06,train
C=CCCCCCCCCCCCCCCC,8.55,train
C=CCCCCCCCCCCCCCCCC,9.04,validation
C=CCCCCCCCCCCCCCCCCC,9.54,train
C=CCCCCCCCCCCCCCCCCC1CC(=O)OC1=O,9.44,validation
C=CCCCCCCCCCF,5.55,train
C=CCCCCCCCCCO,4.14,train
C=CCCCCCCCCO,3.65,test
C=CCCCCCCCCOC(C)=O,4.66,train
C=CCCCCF,3.09,train
C=CCCCCl,2.91,train
C=CCCCF,2.6,train
C=CCCCN=C=S,3.13,train
C=CCCCO,1.2,test
C=CCCCOC(=O)C(CC)N(Cc1ccco1)C(=O)n1ccnc1,3.0,train
C=CCCCOC(C)=O,2.2,test
C=CCCCc1ccccc1,4.37,train
C=CCCCl,2.42,train
C=CCCN=C=S,2.64,train
C=CCCc1ccccc1,3.88,validation
C=CCI,2.44,test
C=CCN(C#N)CC=C,1.56,train
C=CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,3.1,train
C=CCN(C(=O)NCc1ccc(OC)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,3.6,train
C=CCN(C(=O)Nc1ccccc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,3.6,train
C=CCN(C(C)=O)C(C)C,1.14,train
C=CCN(C)N=Nc1ccc(C(N)=O)cc1,2.09,test
C=CCN(C)N=Nc1ccccc1C(N)=O,2.91,validation
C=CCN(C)N=O,0.21,validation
C=CCN(CC=C)C(=O)C(Cl)Cl,1.84,train
C=CCN(CC=C)C(=O)CCl,1.79,train
C=CCN(CC=C)C(=O)COC(=O)Cc1ccc2cc(OC)ccc2c1,3.67,validation
C=CCN(CC=C)C(=O)COCc1ccccc1,2.34,test
C=CCN(CC=C)C(=O)CSP(=S)(OCC)OCC,3.16,train
C=CCN(CC=C)C(O)=C(Cl)Cl,1.84,train
C=CCN(CC=C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,7.22,test
C=CCN(CC=C)CCCOC(=O)N1c2ccccc2Sc2ncccc21,5.39,test
C=CCN(CC=C)CCS,2.17,train
C=CCN(CC=C)N=O,1.05,train
C=CCN(CC=C)c1c(C)cc(OC(=O)NC)cc1C,4.14,train
C=CCN(CC=C)c1c(C)n(-c2ccccc2)c(=O)n(C)c1=O,2.61,train
C=CCN(CC=C)c1cc(N)[n+]([O-])c(N)n1,1.6,train
C=CCN(CC=C)c1ccc(=Nn2c(C)ccc2C)[nH]n1,1.7,test
C=CCN(CC=C)c1ccc(OC(=O)NC)cc1,3.04,validation
C=CCN(CC=C)c1nc(Cl)nc(Cl)n1,3.81,train
C=CCN(CCC#N)c1cc(NC(C)=O)c(N=Nc2c(Br)cc([N+](=O)[O-])cc2[N+](=O)[O-])cc1OC,5.4,train
C=CCN(CCCl)CCCl,2.37,train
C=CCN(N=O)C(=O)N(CCC)CCC=CC(=NC(C)O)C(O)NCc1ccccc1,2.11,train
C=CCN(N=O)C(=O)N(CCC)CCC=CC(NC(C)O)=C(O)NCc1ccccc1,2.11,train
C=CCN(N=O)C(=O)N(CCC)CCC=CC(NC(C)O)C(=O)NCc1ccccc1,2.11,test
C=CCN(N=O)C(=O)N(CCC)CCC=CC(NC(C)O)C(O)=NCc1ccccc1,2.11,train
C=CCN(N=O)C(=O)N(CCC)CCCC(NC(C)=O)C(=O)NCc1ccccc1,2.16,train
C=CCN(N=O)C(=O)N(CCC)CCCC=C(N=C(C)O)C(O)NCc1ccccc1,2.11,train
C=CCN(N=O)C(=O)N(CCC)CCCC=C(NC(=C)O)C(O)NCc1ccccc1,2.11,train
C=CCN(N=O)C(=O)N(CCC)CCCC=C(NC(C)=O)C(O)NCc1ccccc1,2.11,validation
C=CCN(N=O)C(=O)N(CCC)CCCC=C(NC(C)O)C(=O)NCc1ccccc1,2.11,train
C=CCN(N=O)C(=O)N(CCC)CCCC=C(NC(C)O)C(O)=NCc1ccccc1,2.11,train
C=CCN(N=O)C(=O)N(CCC)CCCC=C(NC(C)O)C(O)N=Cc1ccccc1,2.11,train
C=CCN(N=O)C(=O)N(CCC)CCCCC(=NC(=C)O)C(O)NCc1ccccc1,2.11,train
C=CCN(N=O)C(=O)N(CCC)CCCCC(=NC(C)=O)C(O)NCc1ccccc1,2.11,train
C=CCN(N=O)C(=O)N(CCC)CCCCC(=NC(C)O)C(=O)NCc1ccccc1,2.11,train
C=CCN(N=O)C(=O)N(CCC)CCCCC(=NC(C)O)C(O)=NCc1ccccc1,2.11,test
C=CCN(N=O)C(=O)N(CCC)CCCCC(=NC(C)O)C(O)N=Cc1ccccc1,2.11,test
C=CCN(N=O)C(=O)N(CCC)CCCCC(N=C(C)O)=C(O)NCc1ccccc1,2.11,train
C=CCN(N=O)C(=O)N(CCC)CCCCC(N=C(C)O)C(=O)NCc1ccccc1,2.11,train
C=CCN(N=O)C(=O)N(CCC)CCCCC(N=C(C)O)C(O)=NCc1ccccc1,2.11,train
C=CCN(N=O)C(=O)N(CCC)CCCCC(NC(=C)O)=C(O)NCc1ccccc1,2.11,train
C=CCN(N=O)C(=O)N(CCC)CCCCC(NC(=C)O)C(=O)NCc1ccccc1,2.11,train
C=CCN(N=O)C(=O)N(CCC)CCCCC(NC(=C)O)C(O)=NCc1ccccc1,2.11,validation
C=CCN(N=O)C(=O)N(CCC)CCCCC(NC(C)=O)=C(O)NCc1ccccc1,2.11,train
C=CCN(N=O)C(=O)N(CCC)CCCCC(NC(C)=O)C(=O)NCc1ccccc1,2.11,train
C=CCN(N=O)C(=O)N(CCC)CCCCC(NC(C)=O)C(O)=NCc1ccccc1,2.11,train
C=CCN(N=O)C(=O)N(CCC)CCCCC(NC(C)O)=C(O)N=Cc1ccccc1,2.11,train
C=CCN(N=O)C(=O)N(CCC)CCCCC(NC(C)O)C(=O)N=Cc1ccccc1,2.11,train
C=CCN(N=O)C(=O)N(CCCC(NC(C)=O)C(=O)NCc1ccccc1)Cc1ccccc1,2.16,train
C=CCN(N=O)C(=O)N(CCCCC(NC(C)=O)C(=O)NCc1ccccc1)Cc1ccccc1,2.7,test
C=CCN(N=O)C(=O)N(CCCCC(NC(C)=O)C(=O)Nc1ccccc1)Cc1ccccc1,2.7,train
C=CCN(N=O)C(=O)NCCCC(NC(C)=O)C(=O)NCc1ccccc1,1.3,train
C=CCN(N=O)C(=O)NCCCCC(NC(C)=O)C(=O)NCc1ccccc1,1.62,train
C=CCN1C(=O)CC(=O)N(C(C)CC)C1=O,1.47,train
C=CCN1C(=O)CNC1=S,0.63,train
C=CCN1C(=O)Cc2ccccc2S1(=O)=O,1.31,train
C=CCN1C(=O)NC(=O)C(CC)(CC)C1=O,1.66,train
C=CCN1C(=O)OC(C)C1=O,0.98,train
C=CCN1C(=O)SC(=Cc2ccc([N+](=O)[O-])o2)C1=O,2.22,train
C=CCN1C(=O)c2ccccc2CS1(=O)=O,1.77,train
C=CCN1C(C)CC23CCCCC2C1Cc1ccc(O)cc13,4.67,train
C=CCN1C2CCC1CC(O)C2,1.09,train
C=CCN1C=NC2C(=N)N(C)C(=O)NC=C21,-0.57,train
C=CCN1CC2CCC(C1)N2C(=O)CC,1.16,train
C=CCN1CC2CCC(C1)c1ccccc12,3.45,validation
C=CCN1CCC(CNC(=O)c2cc3nn[nH]c3cc2OC)C1,0.95,train
C=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,4.07,train
C=CCN1CCC2(CC)c3cc(O)ccc3CC1C2C,4.56,test
C=CCN1CCC23CCCCC2C1Cc1cc(Br)c(OC)cc13,5.7,train
C=CCN1CCC23CCCCC2C1Cc1ccc(O)cc13,3.48,train
C=CCN1CCC23CCCCC2C1Cc1ccc(OC(=O)N(C)C)cc13,4.32,train
C=CCN1CCC23CCCCC2C1Cc1ccc(OC)cc13,4.81,train
C=CCN1CCC23CCCCC2C1Cc1ccc(OP(=O)(O)O)cc13,3.79,train
C=CCN1CCC=C2N=C(N)SC2CC1,1.48,validation
C=CCN1CCCC1CN=C(O)c1cc2[nH]nnc2cc1OC,1.79,train
C=CCN1CCCC1CN=C(O)c1cc2n[nH]nc2cc1OC,1.79,train
C=CCN1CCCC1CN=C(O)c1cc2nn[nH]c2cc1OC,1.79,train
C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC,1.47,train
C=CCN1CCCC1CNC(=O)c1cc2[nH]nnc2cc1OC,1.79,train
C=CCN1CCCC1CNC(=O)c1cc2n[nH]nc2cc1OC,1.79,test
C=CCN1CCCC1CNC(=O)c1cc2nn[nH]c2cc1OC,1.79,test
C=CCN1CCCCC1Cc1ccccc1,4.15,train
C=CCN1CCCN(CC=C)C1=S,2.08,test
C=CCN1CCN(CC=C)C1=S,1.63,train
C=CCN1CCc2cc(OC)cc(OC)c2C1CCc1ccc(Cl)cc1,6.23,train
C=CCN1CCc2cc(OC)cc(OC)c2C1CCc1ccc([N+](=O)[O-])cc1,5.4,train
C=CCN1CCc2cccc(Cl)c2CC1,3.3,test
C=CCN1CCc2nc(N)sc2CC1,1.48,train
C=CCN1Cc2cc(Cl)ccc2-c2ccc(Cl)cc2C1,5.59,train
C=CCN1Cc2ccccc2-c2ccccc2C1,4.3,train
C=CCN=C(N)SCCN,0.65,validation
C=CCN=C(O)N(CCCC(=NC(=C)O)C(O)NCc1ccccc1)Cc1ccccc1,1.44,train
C=CCN=C(O)N(CCCC(=NC(C)=O)C(O)NCc1ccccc1)Cc1ccccc1,1.44,train
C=CCN=C(O)N(CCCC(=NC(C)O)C(=O)NCc1ccccc1)Cc1ccccc1,1.44,train
C=CCN=C(O)N(CCCC(=NC(C)O)C(O)=NCc1ccccc1)Cc1ccccc1,1.44,train
C=CCN=C(O)N(CCCC(N=C(C)O)=C(O)NCc1ccccc1)Cc1ccccc1,1.44,train
C=CCN=C(O)N(CCCC(N=C(C)O)C(=O)NCc1ccccc1)Cc1ccccc1,1.44,validation
C=CCN=C(O)N(CCCC(N=C(C)O)C(O)=NCc1ccccc1)Cc1ccccc1,1.44,test
C=CCN=C(O)N(CCCC(NC(=C)O)=C(O)NCc1ccccc1)Cc1ccccc1,1.44,validation
C=CCN=C(O)N(CCCC(NC(=C)O)C(=O)NCc1ccccc1)Cc1ccccc1,1.44,validation
C=CCN=C(O)N(CCCC(NC(=C)O)C(O)=NCc1ccccc1)Cc1ccccc1,1.44,train
C=CCN=C(O)N(CCCC(NC(C)=O)=C(O)NCc1ccccc1)Cc1ccccc1,1.44,train
C=CCN=C(O)N(CCCC(NC(C)=O)C(=O)NCc1ccccc1)Cc1ccccc1,1.44,train
C=CCN=C(O)N(CCCC(NC(C)=O)C(O)=NCc1ccccc1)Cc1ccccc1,1.44,train
C=CCN=C(S)NCCO,0.67,train
C=CCN=C1N=C[N]c2[nH]cnc21,1.09,validation
C=CCN=C1[N]C=Nc2[nH]cnc21,1.09,test
C=CCN=C=O,1.63,train
C=CCN=C=S,2.15,train
C=CCN=c1[nH]cnc2[nH]cnc12,1.09,test
C=CCN=c1[nH]cnc2nc[nH]c12,1.09,train
C=CCN=c1nc[nH]c2[nH]cnc12,1.09,train
C=CCN=c1nc[nH]c2c1N=C[N]2,1.09,test
C=CCN=c1nc[nH]c2nc[nH]c12,1.09,validation
C=CCNC(=N)NCCSS(=O)(=O)O,-1.17,test
C=CCNC(=O)C(C)=C(C)c1ccccc1,3.23,train
C=CCNC(=O)N(CCC)CCCCC(NC(C)=O)C(=O)NCc1ccccc1,1.75,train
C=CCNC(=O)N(CCCC(=NC(=C)O)C(O)NCc1ccccc1)Cc1ccccc1,1.44,validation
C=CCNC(=O)N(CCCC(=NC(C)=O)C(O)NCc1ccccc1)Cc1ccccc1,1.44,train
C=CCNC(=O)N(CCCC(=NC(C)O)C(=O)NCc1ccccc1)Cc1ccccc1,1.44,train
C=CCNC(=O)N(CCCC(=NC(C)O)C(O)=NCc1ccccc1)Cc1ccccc1,1.44,train
C=CCNC(=O)N(CCCC(N=C(C)O)=C(O)NCc1ccccc1)Cc1ccccc1,1.44,train
C=CCNC(=O)N(CCCC(N=C(C)O)C(=O)NCc1ccccc1)Cc1ccccc1,1.44,train
C=CCNC(=O)N(CCCC(N=C(C)O)C(O)=NCc1ccccc1)Cc1ccccc1,1.44,train
C=CCNC(=O)N(CCCC(NC(=C)O)=C(O)NCc1ccccc1)Cc1ccccc1,1.44,train
C=CCNC(=O)N(CCCC(NC(=C)O)C(=O)NCc1ccccc1)Cc1ccccc1,1.44,validation
C=CCNC(=O)N(CCCC(NC(=C)O)C(O)=NCc1ccccc1)Cc1ccccc1,1.44,train
C=CCNC(=O)N(CCCC(NC(C)=O)=C(O)NCc1ccccc1)Cc1ccccc1,1.44,validation
C=CCNC(=O)N(CCCC(NC(C)=O)C(=O)NCc1ccccc1)Cc1ccccc1,1.44,train
C=CCNC(=O)N(CCCC(NC(C)=O)C(O)=NCc1ccccc1)Cc1ccccc1,1.44,train
C=CCNC(=O)N(CCCCC(NC(C)=O)C(=O)NCc1ccccc1)Cc1ccccc1,1.98,train
C=CCNC(=O)NCCCC(NC(C)=O)C(=O)NCc1ccccc1,0.68,train
C=CCNC(=O)NCCCCC(NC(C)=O)C(=O)NCc1ccccc1,0.76,train
C=CCNC(=O)NN,-1.55,train
C=CCNC(=O)OCC(C)(CCC)COC(N)=O,2.29,validation
C=CCNC(=O)OCC(C)(CCCC)COC(N)=O,2.79,train
C=CCNC(=O)OCC(C)(COC(N)=O)C(C)C,2.22,train
C=CCNC(=O)OCC(C)(COC(N)=O)C(C)CC,2.71,train
C=CCNC(=O)OCC(CC)(CC)COC(N)=O,2.29,test
C=CCNC(=O)Oc1cccc(N(C)C)c1,2.2,test
C=CCNC(=O)c1[nH]cc(-c2ccc(Cl)cc2)c1N1CCOCC1,3.7,train
C=CCNC(=O)c1cc(Cl)c(N)c(Cl)c1,2.42,train
C=CCNC(=O)c1cc([N+](=O)[O-])cc2c(=O)[nH]c(Nc3ccc(Cl)c(Cl)c3)nc12,2.7,train
