molecule,logp,dataset_type
Brc1ccc(Br)c2ccccc12,4.95,train
Brc1ccc(Br)cc1,3.79,train
Brc1ccc(Br)s1,3.59,test
Brc1ccc(CNCC2CCC(CNCc3ccc(Br)cc3)CC2)cc1,7.2,train
Brc1ccc(I)cc1,4.05,train
Brc1ccc(N=C2NCCN2)cc1,1.75,test
Brc1ccc(NC2=NCCN2)cc1,1.75,validation
Brc1ccc(OCCCCCCCCCCN2CCSC2)nc1,5.83,train
Brc1ccc(OCCCCCCCCN2CCSC2)nc1,4.85,test
Brc1ccc(OCCCCCCCN2CCSC2)nc1,4.36,train
Brc1ccc(OCCCCCCN2CCSC2)nc1,3.87,train
Brc1ccc(OCCCCCCNCCSSCCNCCCCCCOc2ccc(Br)cn2)nc1,8.55,train
Brc1ccc(OCCCCCN2CCSC2)nc1,3.38,train
Brc1ccc(OCCCCCNCCSSCCNCCCCCOc2ccc(Br)cn2)nc1,7.57,test
Brc1ccc(OCCCCN2CCSC2)nc1,2.88,test
Brc1ccc(OCCCN2CCSC2)nc1,2.39,train
Brc1ccc(OCCCNCCSSCCNCCCOc2ccc(Br)cn2)nc1,5.61,test
Brc1ccc(OCCN2CCSC2)nc1,1.9,train
Brc1ccc(OCCNCCSSCCNCCOc2ccc(Br)cn2)nc1,4.62,train
Brc1ccc(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)cc1Br,9.44,test
Brc1ccc(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,6.83,test
Brc1ccc(Oc2c(Br)cccc2Br)cc1,5.52,train
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,7.66,train
Brc1ccc(Oc2cc(Br)cc(Br)c2)cc1,5.52,test
Brc1ccc(Oc2ccc(Br)c(Br)c2)cc1,5.52,train
Brc1ccc(Oc2ccc(Br)c(Br)c2Br)c(Br)c1,7.66,test
Brc1ccc(Oc2ccc(Br)c(Br)c2Br)c(Br)c1Br,8.55,train
Brc1ccc(Oc2ccc(Br)cc2)cc1,5.83,train
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,6.77,train
Brc1ccc(Oc2ccc(Br)cc2Br)cc1,5.88,train
Brc1ccc(Oc2ccccc2)cc1,4.94,validation
Brc1ccc(Oc2ccccc2Br)c(Br)c1,5.59,train
Brc1ccc(SCCCCCCCCCCN2CCSC2)nc1,6.35,train
Brc1ccc(SCCCCCCCN2CCSC2)nc1,4.88,train
Brc1ccc(SCCCCCCN2CCSC2)nc1,4.39,train
Brc1ccc(SCCCCCN2CCSC2)nc1,3.89,train
Brc1ccc(SCCCCN2CCSC2)nc1,3.4,train
Brc1ccc(Sc2ccc(Br)cc2)cc1,6.07,train
Brc1ccc2[nH]cc(C3CCCN3Cc3ccccc3)c2c1,4.85,train
Brc1ccc2[nH]ccc2c1,3.0,train
Brc1ccc2c(c1)CC=N2,3.0,train
Brc1ccc2c(c1)Cc1ccccc1-2,4.91,train
Brc1ccc2c(c1)Oc1cc(Br)ccc1O2,6.12,train
Brc1ccc2c(c1)Oc1ccc(Br)cc1O2,6.12,train
Brc1ccc2c(c1)Oc1ccccc1O2,5.23,train
Brc1ccc2c(c1)Sc1ccccc1N2,4.71,train
Brc1ccc2c3c(cccc13)CC2,5.04,train
Brc1ccc2ccc3c(Br)ccc4ccc1c2c43,6.69,train
Brc1ccc2ccc3ccc(Br)c4ccc1c2c34,6.73,train
Brc1ccc2ccc3cccc4ccc1c2c34,5.81,train
Brc1ccc2ccccc2c1,4.06,train
Brc1ccc2ncccc2c1,2.83,test
Brc1ccc2oc3ccccc3c2c1,4.6,train
Brc1cccc(-c2cc3ccccn3c2)c1,5.31,train
Brc1cccc(-c2ccccc2)c1,4.85,train
Brc1cccc(-c2cnc(SCCc3c[nH]cn3)[nH]2)c1,3.76,train
Brc1cccc(Br)c1,3.75,train
Brc1cccc(Br)c1Br,4.66,train
Brc1cccc(Br)c1N=C1NCCN1,1.96,test
Brc1cccc(Br)c1NC1=NCCN1,1.96,train
Brc1cccc(Br)n1,2.58,train
Brc1cccc(C2OCCO2)c1,2.22,train
Brc1cccc(I)c1,4.05,train
Brc1cccc(N=C2NCCN2)c1Br,2.16,validation
Brc1cccc(NC2=NCCN2)c1Br,2.16,train
Brc1cccc(OCCCCCN2CCSC2)n1,3.38,train
Brc1cccc(Oc2ccc(Br)c(Br)c2)c1,5.52,validation
Brc1cccc(Oc2ccc(Br)c(Br)c2Br)c1,6.05,test
Brc1cccc(Oc2cccc(Br)c2)c1,5.03,train
Brc1cccc2c1Oc1cccc(Br)c1O2,6.12,train
Brc1cccc2c1Oc1ccccc1O2,5.23,train
Brc1cccc2ccccc12,4.06,train
Brc1ccccc1,2.99,validation
Brc1ccccc1-c1ccccc1,4.59,test
Brc1ccccc1Br,3.64,train
Brc1ccccc1CNCC1CCC(CNCc2ccccc2Br)CC1,7.2,train
Brc1ccccc1I,4.05,train
Brc1ccccn1,1.42,train
Brc1cccnc1,1.6,train
Brc1cccnc1OCCCCCN1CCSC1,3.38,train
Brc1cccnc1OCCCCCNCCSSCCNCCCCCOc1ncccc1Br,7.57,validation
Brc1cccs1,2.75,train
Brc1ccncc1,1.54,validation
Brc1ccoc1,2.18,train
Brc1ccsc1Br,3.53,test
Brc1cn[nH]c1,0.95,validation
Brc1cnc(NCc2ccccc2)nc1Nc1cc(C2CC2)[nH]n1,4.11,test
Brc1cnc(OCCCCCCN2CCSC2)c(Br)c1,4.76,train
Brc1cnc(OCCCCCNCCSSCCNCCCCCOc2ncc(Br)cc2Br)c(Br)c1,9.35,train
Brc1cncc(Br)c1,2.58,train
Brc1cncc2ccccc12,3.03,test
Brc1cscc1Br,3.59,train
Brc1n[nH]c(Br)n1,2.24,train
Brc1n[nH]nc1Br,2.44,train
Brc1nc(Br)c(Br)[nH]1,1.96,train
Brc1ncccn1,0.5,train
Brc1nccs1,1.88,validation
Brc1ncnc2nc[nH]c12,0.07,train
Brc1sc(Br)c(Br)c1Br,5.37,test
C#CC(=O)C=CC,0.54,train
C#CC(=O)OC,0.09,train
C#CC(=O)OCC,0.58,train
C#CC(C)(C)C,2.41,test
C#CC(C)(C)Cl,2.17,test
C#CC(C)(C)N,0.44,train
C#CC(C)(C)N(C)C(C)C,2.29,test
C#CC(C)(C)N=C(O)c1cc(Cl)cc(Cl)c1,3.43,train
C#CC(C)(C)NC(=O)C=Cc1cc(OC)c(OC)c(OC)c1,1.88,train
C#CC(C)(C)NC(=O)OCC(C)(CCC)COC(N)=O,2.53,test
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,3.43,train
C#CC(C)(C)NC(=O)c1sccc1Oc1ccc(F)cc1[N+](=O)[O-],3.0,train
C#CC(C)(C)NC(C)(C)C,2.27,train
C#CC(C)(C)NC1=NC(=O)C(c2ccccc2)O1,0.64,train
C#CC(C)(C)NCC(O)CON=C(C1CC1)C1CC1,1.6,train
C#CC(C)(CC)NC1=NC(=O)C(c2ccccc2)O1,1.13,train
C#CC(C)(CC)OC,1.64,train
C#CC(C)(CC)OC(=O)c1ccccc1C(=O)O,2.94,train
C#CC(C)(CC)OC(N)=O,1.06,train
C#CC(C)(CCC=C(C)C)OC(C)=O,3.75,train
C#CC(C)(N)CC(C)C,1.84,test
C#CC(C)(O)C(C)C,1.36,train
C#CC(C)(O)C(O)c1ccccc1,1.03,train
C#CC(C)(O)C=C,0.8,train
C#CC(C)(O)CC,0.94,train
C#CC(C)(O)CCC=C(C)C,2.75,train
C#CC(C)(O)c1ccccc1,1.67,validation
C#CC(C)=CC,2.36,train
C#CC(C)=CCN1CCC23CCCCC2C1Cc1ccc(O)cc13,4.93,test
C#CC(C)=CCO,0.89,test
C#CC(C)C(C)C(C)C(C)C(O)C(O)CC,3.48,validation
C#CC(C)C(C)CC(O)C(C)O,1.66,train
C#CC(C)Cl,1.71,train
C#CC(C)N(C(=O)CCl)c1ccccc1,2.14,train
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,3.0,train
C#CC(C)N(C)C(O)=Nc1ccc(Cl)cc1,3.0,validation
C#CC(C)N(C)C1=NC(=O)C(c2ccccc2)O1,0.4,train
C#CC(C)NC1=NC(=O)C(c2ccccc2)O1,0.19,train
C#CC(C)NCc1ccccc1,2.16,validation
C#CC(C)OC(=O)Nc1ccc(OCC)c(OCC)c1,2.68,validation
C#CC(C)OC(=O)Nc1cccc(Cl)c1,3.02,train
C#CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.59,train
C#CC(C=C)(CC)OC(=N)O,1.09,train
C#CC(C=CCl)(CC)OC(=N)O,1.71,train
C#CC(C=CCl)(CC)OC(N)=O,1.71,train
C#CC(CC)CC,2.93,train
C#CC(CC)OC(=O)Nc1ccc(OCC)c(OCC)c1,3.07,train
C#CC(Cl)Cl,1.48,train
C#CC(O)(C=C)CC,1.3,test
C#CC(O)(C=CCl)CC,1.65,test
C#CC(O)(CC)CC,1.43,test
C#CC(O)C(CC)CCCC,2.87,validation
C#CC(O)C=CC,0.76,train
C#CC(O)CC,0.49,test
C#CC(O)CCC,0.98,test
C#CC(O)CCCCC,1.96,test
C#CC(O)c1ccccc1,1.21,train
C#CC(OC(=O)C1C(C=C(C)C)C1(C)C)C(C)=CCC,6.21,train
C#CC(OC(=O)NC1CCCCCC1)(c1ccc(F)cc1)c1ccc(F)cc1,6.63,train
C#CC(OC(=O)NC1CCCCCCC1)(c1ccc(F)cc1)c1ccc(F)cc1,7.12,test
C#CC(OC(N)=O)c1ccccc1,1.59,validation
C#CC(OCC)OCC,0.92,validation
C#CC1(O)C(F)CC2C3CCc4cc(O)ccc4C3C(CC)CC21C,4.12,train
C#CC1(O)C(F)CC2C3CCc4cc(O)ccc4C3C(OC)CC21C,2.87,train
C#CC1(O)C(F)CC2C3CCc4cc(O)ccc4C3CCC21C,3.3,test
C#CC1(O)C=CC2C3CCC4=CC(=O)CCC4C3CCC21CC,3.26,validation
C#CC1(O)CCC2C3C(C)CC4=C(CCC(=O)C4)C3CCC21C,3.93,test
C#CC1(O)CCC2C3CC=C4C=C(O)CCC4(C)C3CCC21C,3.11,train
C#CC1(O)CCC2C3CC=C4C=C(O)CCC4C3C(=C)CC21CC,3.16,train
C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,3.11,train
C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3C(=C)CC21CC,3.16,test
C#CC1(O)CCC2C3CC=C4CC(O)=CCC4(C)C3CCC21C,3.11,train
C#CC1(O)CCC2C3CC=C4CC(O)=CCC4C3C(=C)CC21CC,3.16,train
C#CC1(O)CCC2C3CCC4=C(CC=C(O)C4)C3C(=C)CC21CC,3.16,train
C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3C(=C)CC21CC,3.16,train
C#CC1(O)CCC2C3CCC4=C(CCC(O)=C4)C3C(=C)CC21CC,3.16,train
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,3.11,test
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C=CC21C,2.59,train
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,3.16,train
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,2.97,train
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,3.48,train
C#CC1(O)CCC2C3CCC4=CC(O)=CCC4(C)C3CCC21C,3.11,train
